Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM,AAPL,TSLA,XOM
Date,,,,,,,,,,,,,,,
2020-02-04,77.00651550292969,59.137332916259766,45.786190032958984,77.197313069489,64.59933471679688,47.267349679084056,75.74581580955447,55.59199905395508,45.72510984344599,76.15155637582674,58.86399841308594,46.9161473267756,136616400,914082000,31922100
2020-02-05,77.63444519042969,48.97999954223633,47.893402099609375,78.43385354098093,56.39866638183594,48.046099645115305,77.03066200298008,46.94066619873047,46.267178628028525,78.13437206813377,54.88399887084961,46.38170251527384,118826800,726357000,32099200
2020-02-06,78.54254913330078,49.930667877197266,47.24443435668945,78.54496662516472,53.05533218383789,48.107169976289384,77.34706255457273,45.79999923706055,47.168084138718434,77.9049577653929,46.66133117675781,48.04609271437558,105425600,598212000,16055400
2020-02-07,77.47492218017578,49.871334075927734,46.9314079284668,78.2907522912515,51.31666564941406,47.07646898066871,76.98348700831134,48.66666793823242,46.61837930137404,78.04140355652011,48.70333480834961,46.88559779555207,117684000,255952500,15112500
2020-02-10,77.8428955078125,51.41866683959961,46.43577194213867,77.8428955078125,54.66600036621094,46.86946267686986,75.97883426440146,50.15999984741211,46.17246023788696,76.05871954270658,53.33333206176758,46.83848413418697,109348800,370338000,20934500
2020-02-11,77.37324523925781,51.62533187866211,46.877201080322266,78.41179815824636,52.23400115966797,47.156002027634706,77.15536891605744,50.53333282470703,46.598400133009825,78.33917517981024,51.25266647338867,46.915925731885984,94323200,175462500,14908700
2020-02-12,79.21070098876953,51.15266799926758,47.450294494628906,79.21554005883662,52.650001525878906,47.651649102637506,77.82354276759801,50.891334533691406,46.90043868595516,77.82354276759801,51.858001708984375,47.504505464257235,113730400,180337500,17862100
2020-02-13,78.64663696289062,53.599998474121094,47.18697738647461,78.97345520254548,54.53333282470703,47.56645413030042,78.27866815708352,49.0,46.900433300729986,78.48201992249481,49.45600128173828,47.287656156056855,94747600,394339500,16949400
2020-02-14,78.666015625,53.33533477783203,46.97013854980469,78.91536443873161,54.198001861572266,47.365104604543546,78.15763246837311,52.366668701171875,46.68359147917764,78.61517213781144,52.4813346862793,47.35736144649137,80113600,235405500,10855300
2020-02-18,77.2255859375,57.22666549682617,46.37381362915039,77.40715079471983,57.33333206176758,46.76877967277249,76.16282276038466,55.490665435791016,46.040801711030745,76.34438761760448,56.106666564941406,46.582914341988975,152531200,245725500,18948500
2020-02-19,78.34403228759766,61.16133117675781,46.73005294799805,78.57401741875222,62.98533248901367,46.94689679534359,77.46768033586122,60.06800079345703,46.335086946864976,77.46768033586122,61.56666564941406,46.55193079421051,93984000,381345000,12804900
2020-02-20,77.54027557373047,59.96066665649414,46.35831832885742,78.59335295390206,60.79999923706055,46.88494162136717,77.0343158542038,57.3293342590332,46.24989640762467,78.1043410564765,60.79666519165039,46.64486239986909,100566000,264523500,14817200
2020-02-21,75.78516387939453,60.06666564941406,45.79297637939453,77.57660960627356,60.87066650390625,46.087263626742256,75.1678463572217,58.6966667175293,45.52966471568405,77.13358724414647,60.46533203125,46.087263626742256,129554000,214722000,20315700
2020-02-24,72.18534851074219,55.58599853515625,43.64775848388672,73.63786746473984,57.56666564941406,44.76295918642501,70.01867883709842,54.813331604003906,43.64775848388672,71.9626330750162,55.93333435058594,44.62355872932325,222195200,227883000,32096600
2020-02-25,69.74027252197266,53.32733154296875,41.97496032714844,73.23842524425972,57.106666564941406,43.94979640285314,69.26820830101296,52.46666717529297,41.79683815879538,72.85593184219474,56.599998474121094,43.94979640285314,230673600,259357500,36414500
2020-02-26,70.84660339355469,51.91999816894531,41.05336380004883,72.11271828103145,54.22066879272461,42.455111530837186,69.35777309270347,51.740665435791016,40.99140968247117,69.36503539122887,52.16666793823242,42.2460108447455,198054800,211282500,29801000
2020-02-27,66.21549224853516,45.266666412353516,38.582889556884766,69.23673421957639,49.31800079345703,40.611936727645144,66.07992440892687,44.599998474121094,38.567400286356666,68.0505119290574,48.66666793823242,40.04659164761282,320605600,364158000,48141300
2020-02-28,66.17675018310547,44.53266525268555,39.837493896484375,67.39929122080478,46.03466796875,39.837493896484375,62.06370365251087,40.768001556396484,37.18114436556834,62.27916414492055,41.97999954223633,37.76972487240521,426510000,363343500,62446700
2020-03-02,72.33784484863281,49.574668884277344,41.727134704589844,72.97453333535833,49.5793342590332,41.73487786162706,67.23224297649529,45.77799987792969,39.59740905197608,68.3361564954498,47.41733169555664,40.72809905306482,341397200,302925000,38127600
2020-03-03,70.04046630859375,49.70066833496094,39.72907257080078,73.5942942720579,53.798667907714844,41.936245074569825,69.18831712034967,47.740665435791016,39.48125012855168,73.51440897960677,53.66666793823242,41.781355309595,319475600,386760000,50580700
2020-03-04,73.28925323486328,49.96666717529297,40.596439361572266,73.44903118653338,51.10133361816406,40.64290716389018,70.9628058782761,48.31533432006836,39.58966061222306,71.7641114774827,50.930667877197266,40.449295752312416,219178400,225735000,24079600
2020-03-05,70.91195678710938,48.30266571044922,38.80746841430664,72.51698353207479,49.71666717529297,39.26439142382783,70.54640393192855,47.871334075927734,37.978811881589884,71.54137556338232,48.2513313293457,39.04754465292385,187572800,162790500,40788200
2020-03-06,69.97024536132812,46.89866638183594,36.933319091796875,70.40358216932741,47.133331298828125,37.95558731016318,68.08197403311165,45.61800003051758,36.55384230467104,68.26837793734198,46.0,37.82393294238213,226176800,189943500,55640500
2020-03-09,64.43614959716797,40.53333282470703,32.41830062866211,67.32181576257562,44.20000076293945,34.51704797082312,63.66873234822989,40.33333206176758,31.597387043256067,63.850297174318,40.35933303833008,32.302132580649754,286744800,256105500,72896300
2020-03-10,69.07696533203125,43.02199935913086,33.618675231933594,69.34326197621986,44.53333282470703,35.82584347542059,65.2108433903716,40.53333282470703,32.10076293275395,67.09186034094932,43.96200180053711,35.75614327013812,285290000,233916000,60445900
2020-03-11,66.67787170410156,42.28200149536133,32.51123046875,68.0795543718944,43.571998596191406,33.67289903080085,65.81362127140751,40.866668701171875,32.33310831041532,67.15236648355659,42.68000030517578,32.828753090872866,255598800,199837500,51986100
2020-03-12,60.093116760253906,37.369998931884766,28.79389190673828,65.36333966293708,39.633331298828125,31.481219481914945,60.03743791262368,36.41666793823242,28.654491441760612,61.95960486263178,38.72600173950195,30.90038519593331,418474000,283636500,65725300
2020-03-13,67.29276275634766,36.44133377075195,29.521875381469727,67.76483423256263,40.50466537475586,31.086256374532425,61.23575946723115,33.46666717529297,27.105605123382745,64.12627561961224,39.66666793823242,30.985577585448155,370732000,339604500,79891500
2020-03-16,58.635765075683594,29.67133331298828,26.71063995361328,62.7197589173465,32.9913330078125,29.33601103895019,58.10075235573811,29.47800064086914,25.750325753452444,58.572820229839216,31.299999237060547,26.640939705583246,322423600,307342500,48924700
2020-03-17,61.2139778137207,28.68000030517578,28.507349014282227,62.36388471818226,31.456666946411133,28.948782853787016,57.71340624039025,26.399999618530273,26.486045141667635,59.91881387267281,29.333999633789062,27.268234046356937,324056000,359919000,41204400
2020-03-18,59.7154655456543,24.08133316040039,25.649642944335938,60.52161388588787,26.99066734313965,28.42990336262185,57.40353915642415,23.367332458496094,24.18594091918806,58.04507047998226,25.933332443237305,26.757100626127684,300233600,356793000,54036400
2020-03-19,59.25791549682617,28.50933265686035,26.664161682128906,61.209131513713295,30.133333206176758,27.028152051822342,58.73258839181393,23.8973331451416,25.05331345004135,59.88976122109357,24.979999542236328,26.12204918270423,271857200,452932500,49412400
2020-03-20,55.49589538574219,28.50200080871582,25.3553524017334,60.96462703593952,31.799999237060547,27.244998763011445,55.19570687816326,28.38599967956543,24.441504802481145,59.83892290297791,29.213333129882812,26.98168711843144,401693200,424282500,76534600
2020-03-23,54.31694030761719,28.952667236328125,24.3563175201416,55.31675861475192,29.46666717529297,25.324374631798456,51.47000473892812,27.366666793823242,23.31856017827442,55.21508274022157,28.906667709350586,25.19271732838968,336752800,246817500,56952500
2020-03-24,59.766300201416016,33.66666793823242,27.44635581970215,59.96238962255932,34.24599838256836,28.011700852456695,56.72085240856594,31.600000381469727,25.812277798369646,57.21954987318864,31.81999969482422,26.65642081448625,287531200,343428000,61835600
2020-03-25,59.43706512451172,35.95000076293945,28.879079818725586,62.51882454095762,37.133331298828125,29.885858601498995,59.14171936553053,34.07400131225586,27.244998978075095,60.703176199981115,36.349998474121094,28.275010185640912,303602000,318340500,56607700
